cell_id,longitude,latitude,anomaly_score,anomaly_rank,robust_distance_score,robust_distance_rank,positive_anchor_similarity,positive_anchor_rank,exploration_priority_score,feature_quality,config_b_sensitivity_similarity,config_b_sensitivity_rank
GRID-00001,80.203798,21.868537,0.1426,13012,0.0119,8901,0.4847,20735,0.4872,partial,0.4919,21850
GRID-00002,80.204088,21.868539,0.4705,1147,0.7299,349,0.2045,26766,0.6602,valid,0.1855,27000
GRID-00003,80.204379,21.86854,0.163,10942,0.0115,9218,0.4992,20085,0.5161,valid,0.5242,20271
GRID-00004,80.204669,21.868541,0.2349,6627,0.0139,7605,0.3569,24728,0.5315,valid,0.3784,25088
GRID-00005,80.204959,21.868543,0.3085,3939,0.0173,6254,0.3166,25423,0.5717,valid,0.3187,25941
GRID-00006,80.20525,21.868544,0.2032,8182,0.0122,8697,0.5103,19579,0.5616,valid,0.5243,20263
GRID-00007,80.20554,21.868546,0.4255,1580,0.0192,5794,0.346,24938,0.6115,valid,0.3698,25232
GRID-00008,80.20583,21.868547,0.2657,5358,0.0106,10177,0.271,26058,0.4999,valid,0.3004,26143
GRID-00009,80.206121,21.868548,0.3374,3147,0.0145,7298,0.3392,25070,0.573,valid,0.3703,25221
GRID-00010,80.206411,21.86855,0.3384,3119,0.0149,7122,0.3507,24852,0.578,valid,0.3815,25024
GRID-00011,80.206701,21.868551,0.3966,2002,0.0183,6017,0.32,25368,0.5985,valid,0.3502,25525
GRID-00012,80.206992,21.868553,0.1942,8709,0.0097,11511,0.4006,23663,0.4723,valid,0.4418,23666
GRID-00013,80.207282,21.868554,0.2721,5129,0.0109,9845,0.3175,25402,0.5145,valid,0.3545,25462
GRID-00014,80.207572,21.868555,0.135,13934,0.0083,14331,0.5205,19097,0.4305,valid,0.5262,20156
GRID-00015,80.207863,21.868557,0.1509,12115,0.0083,14131,0.5645,16677,0.4839,valid,0.563,17865
GRID-00016,80.208153,21.868558,0.1344,14019,0.0119,8910,0.5018,19965,0.4842,valid,0.5088,21038
GRID-00017,80.208443,21.86856,0.1483,12377,0.009,12695,0.4506,22047,0.4334,valid,0.4684,22790
GRID-00018,80.208734,21.868561,0.1396,13378,0.0083,14347,0.4814,20863,0.4157,valid,0.5084,21059
GRID-00019,80.209024,21.868562,0.1115,17367,0.006,20800,0.4915,20433,0.2953,valid,0.5148,20744
GRID-00020,80.209314,21.868564,0.0897,21159,0.0061,20751,0.4651,21505,0.2374,valid,0.4884,21998
GRID-00021,80.209605,21.868565,0.1186,16259,0.0062,20415,0.4776,21016,0.3063,valid,0.4902,21934
GRID-00022,80.209895,21.868567,0.1008,19225,0.0074,16756,0.4435,22313,0.299,valid,0.4612,23041
GRID-00023,80.210185,21.868568,0.1254,15254,0.0092,12378,0.4286,22800,0.3936,valid,0.4697,22745
GRID-00024,80.210476,21.868569,0.1331,14196,0.0072,17197,0.4647,21515,0.3638,valid,0.4979,21571
GRID-00025,80.210766,21.868571,0.1336,14131,0.0073,16979,0.4748,21134,0.3718,valid,0.5066,21148
GRID-00026,80.211057,21.868572,0.2012,8289,0.0085,13770,0.3582,24699,0.4378,valid,0.4006,24660
GRID-00027,80.211347,21.868574,0.2418,6336,0.0095,11768,0.3337,25161,0.4798,valid,0.3779,25096
GRID-00028,80.211637,21.868575,0.0885,21357,0.0071,17632,0.5142,19401,0.2979,valid,0.551,18651
GRID-00029,80.211928,21.868576,0.0732,23913,0.005,23998,0.5381,18128,0.2059,valid,0.5751,16962
GRID-00030,80.212218,21.868578,0.0739,23813,0.0047,24606,0.5224,19000,0.1893,valid,0.5648,17733
GRID-00031,80.212508,21.868579,0.1663,10664,0.0089,12923,0.4532,21948,0.4525,valid,0.5035,21319
GRID-00032,80.212799,21.868581,0.6382,301,0.0472,3364,0.0792,27330,0.6273,valid,0.0931,27334
GRID-00033,80.213089,21.868582,0.6763,210,0.0513,3282,0.067,27364,0.629,valid,0.0784,27368
GRID-00034,80.213379,21.868583,0.485,1040,0.0272,4526,0.3476,24910,0.6335,valid,0.3859,24959
GRID-00035,80.21367,21.868585,0.1168,16555,0.0069,18276,0.5918,14944,0.4015,valid,0.5812,16481
GRID-00036,80.21396,21.868586,0.067,24761,0.0061,20703,0.5846,15404,0.2681,valid,0.6197,13313
GRID-00037,80.21425,21.868587,0.0828,22373,0.0145,7301,0.5807,15659,0.4549,valid,0.6166,13581
GRID-00038,80.214541,21.868589,0.156,11575,0.01,10929,0.4183,23143,0.4511,valid,0.4582,23144
GRID-00039,80.214831,21.86859,0.1368,13688,0.0083,14325,0.4002,23674,0.3785,valid,0.4392,23740
GRID-00040,80.215121,21.868592,0.0878,21494,0.0144,7351,0.496,20230,0.4099,valid,0.5377,19504
GRID-00041,80.215412,21.868593,0.1185,16284,0.0247,4833,0.4685,21374,0.4891,valid,0.5154,20716
GRID-00042,80.215702,21.868594,0.0931,20541,0.0245,4864,0.5923,14896,0.5154,valid,0.6108,14082
GRID-00043,80.215992,21.868596,0.1101,17627,0.0277,4472,0.5807,15660,0.546,valid,0.6187,13390
GRID-00044,80.216283,21.868597,0.2547,5765,0.0182,6028,0.3945,23832,0.5716,valid,0.4486,23451
GRID-00045,80.216573,21.868599,0.2056,8038,0.0105,10370,0.4041,23547,0.4955,valid,0.4459,23537
GRID-00046,80.216863,21.8686,0.2222,7176,0.0096,11682,0.3317,25196,0.4703,valid,0.3791,25069
GRID-00047,80.217154,21.868601,0.1997,8367,0.0102,10749,0.3329,25178,0.4674,valid,0.3813,25032
GRID-00048,80.217444,21.868603,0.0877,21504,0.0102,10727,0.5116,19516,0.3778,valid,0.5268,20127
GRID-00049,80.217734,21.868604,0.318,3676,0.0192,5798,0.232,26492,0.5675,valid,0.2694,26450
GRID-00050,80.218025,21.868605,0.0417,27049,0.0059,21353,0.4743,21159,0.1635,valid,0.508,21086
GRID-00051,80.218315,21.868607,0.042,27029,0.0071,17600,0.5331,18392,0.2422,valid,0.5705,17306
GRID-00052,80.218605,21.868608,0.0666,24806,0.0126,8367,0.5231,18950,0.3732,valid,0.5449,19069
GRID-00053,80.218896,21.86861,0.0615,25462,0.0107,10065,0.5147,19376,0.3398,valid,0.5345,19684
GRID-00054,80.219186,21.868611,0.0856,21889,0.0061,20577,0.4888,20558,0.2421,valid,0.5095,20997
GRID-00055,80.219477,21.868612,0.0862,21786,0.0055,22387,0.45,22068,0.2035,valid,0.4746,22552
GRID-00056,80.219767,21.868614,0.05,26553,0.0073,16888,0.5034,19885,0.2385,valid,0.527,20116
GRID-00057,80.220057,21.868615,0.1083,17909,0.0068,18513,0.3923,23916,0.2744,valid,0.4244,24136
GRID-00058,80.220348,21.868616,0.07,24366,0.0065,19495,0.4918,20426,0.227,valid,0.5154,20720
GRID-00059,80.220638,21.868618,0.0313,27462,0.0043,25379,0.581,15637,0.1766,valid,0.5981,15097
GRID-00060,80.220928,21.868619,0.1627,10959,0.007,17739,0.6453,10806,0.525,valid,0.6354,11896
GRID-00061,80.221219,21.868621,0.0795,22932,0.0058,21544,0.675,8554,0.3623,valid,0.6688,9054
GRID-00062,80.221509,21.868622,0.2062,8014,0.0106,10149,0.6643,9334,0.6694,valid,0.6701,8946
GRID-00063,80.221799,21.868623,0.2381,6499,0.0147,7233,0.5622,16818,0.6327,valid,0.62,13285
GRID-00064,80.22209,21.868625,0.6138,377,0.0431,3485,0.0773,27337,0.6249,valid,0.0934,27332
GRID-00065,80.22238,21.868626,0.6071,402,0.042,3520,0.0858,27317,0.6244,valid,0.103,27304
GRID-00066,80.22267,21.868627,0.1089,17800,0.0092,12364,0.5331,18391,0.4161,valid,0.586,16071
GRID-00067,80.222961,21.868629,0.1158,16702,0.0106,10246,0.7151,5706,0.6074,valid,0.7123,5767
GRID-00068,80.223251,21.86863,0.1004,19286,0.0076,15974,0.6882,7549,0.4852,valid,0.6749,8577
GRID-00069,80.223541,21.868631,0.2371,6540,0.0147,7215,0.6211,12794,0.6808,valid,0.6418,11338
GRID-00070,80.223832,21.868633,0.3917,2084,0.0186,5927,0.3031,25615,0.5957,valid,0.3555,25451
GRID-00071,80.224122,21.868634,0.1138,17008,0.0069,18105,0.4758,21094,0.3241,valid,0.516,20686
GRID-00072,80.224412,21.868636,0.1102,17601,0.007,17769,0.4856,20701,0.3258,valid,0.528,20046
GRID-00073,80.224703,21.868637,0.0842,22138,0.0082,14459,0.5165,19281,0.3281,valid,0.5539,18466
GRID-00074,80.224993,21.868638,0.1304,14566,0.0093,12190,0.4566,21816,0.4159,valid,0.4973,21608
GRID-00075,80.225283,21.86864,0.0922,20708,0.0086,13575,0.5261,18784,0.3619,valid,0.5655,17679
GRID-00076,80.225574,21.868641,0.1652,10756,0.0125,8499,0.4601,21690,0.5077,valid,0.5036,21312
GRID-00077,80.225864,21.868642,0.1585,11348,0.0148,7176,0.706,6352,0.7009,valid,0.6973,6822
GRID-00078,80.226154,21.868644,0.0957,20101,0.0129,8182,0.5895,15086,0.4785,valid,0.6108,14078
GRID-00079,80.226445,21.868645,0.1461,12592,0.0141,7496,0.6589,9757,0.6411,valid,0.6532,10381
GRID-00080,80.226735,21.868647,0.1112,17421,0.0118,9009,0.4898,20524,0.4354,valid,0.5258,20177
GRID-00081,80.227025,21.868648,0.1274,14976,0.0134,7893,0.5482,17580,0.5136,valid,0.5774,16780
GRID-00082,80.227316,21.868649,0.1408,13231,0.0137,7694,0.5013,19993,0.508,valid,0.5409,19305
GRID-00083,80.227606,21.868651,0.0928,20589,0.0131,8048,0.5499,17481,0.4454,valid,0.5839,16250
GRID-00084,80.227897,21.868652,0.1675,10589,0.0134,7904,0.4507,22041,0.5126,valid,0.4939,21756
GRID-00085,80.228187,21.868653,0.1401,13324,0.0157,6808,0.5394,18060,0.5408,valid,0.5794,16606
GRID-00086,80.228477,21.868655,0.0999,19365,0.0158,6757,0.604,14064,0.5168,valid,0.6393,11567
GRID-00087,80.228768,21.868656,0.0934,20488,0.0173,6262,0.6145,13284,0.5186,valid,0.6378,11699
GRID-00088,80.229058,21.868657,0.1266,15092,0.0162,6576,0.5019,19959,0.4995,valid,0.543,19190
GRID-00089,80.229348,21.868659,0.1633,10911,0.0176,6172,0.5165,19279,0.5628,valid,0.5514,18618
GRID-00090,80.229639,21.86866,0.2348,6630,0.0186,5926,0.4039,23553,0.5658,valid,0.4426,23641
GRID-00091,80.229929,21.868661,0.2228,7140,0.0206,5500,0.4709,21278,0.5922,valid,0.5044,21266
GRID-00092,80.230219,21.868663,0.2041,8130,0.0214,5361,0.4493,22104,0.572,valid,0.4871,22048
GRID-00093,80.23051,21.868664,0.2701,5191,0.0322,4063,0.4811,20870,0.6378,valid,0.5129,20839
GRID-00094,80.2308,21.868666,0.3584,2679,0.0492,3320,0.3788,24231,0.6365,valid,0.4182,24270
GRID-00095,80.23109,21.868667,0.3567,2714,0.0676,3008,0.3816,24179,0.6405,valid,0.4227,24163
GRID-00096,80.231381,21.868668,0.3828,2246,0.0803,2799,0.368,24473,0.6451,valid,0.4116,24419
GRID-00097,80.231671,21.86867,0.3266,3428,0.0964,2545,0.4454,22245,0.6607,valid,0.4913,21875
GRID-00098,80.231961,21.868671,0.4029,1896,0.118,2214,0.3965,23782,0.6646,valid,0.4451,23562
GRID-00099,80.232252,21.868672,0.3879,2150,0.1392,1890,0.4758,21093,0.6978,valid,0.5182,20579
GRID-00100,80.232542,21.868674,0.6553,263,0.9665,234,0.0276,27592,0.6623,valid,0.0246,27597
GRID-00101,80.232832,21.868675,0.5847,503,0.9706,233,0.0318,27547,0.6599,valid,0.0278,27539
GRID-00102,80.233123,21.868676,0.6084,396,0.9731,232,0.0375,27444,0.6625,valid,0.0316,27455
GRID-00103,80.233413,21.868678,0.6374,302,0.9735,230,0.0337,27522,0.6627,valid,0.0282,27529
GRID-00104,80.233703,21.868679,0.6095,389,0.9733,231,0.0348,27495,0.6619,valid,0.0294,27504
GRID-00105,80.233994,21.86868,0.6154,369,0.9737,228,0.0328,27534,0.6617,valid,0.0281,27532
GRID-00106,80.234284,21.868682,0.6178,362,0.9741,223,0.031,27554,0.6617,valid,0.0262,27572
GRID-00107,80.234574,21.868683,0.6858,194,0.9755,215,0.0269,27602,0.6632,valid,0.0224,27629
GRID-00108,80.234865,21.868684,0.6466,277,0.9765,213,0.0264,27607,0.6622,valid,0.0222,27631
GRID-00109,80.235155,21.868686,0.7726,82,0.9794,203,0.0161,27675,0.6638,valid,0.0131,27693
GRID-00110,80.235446,21.868687,0.6764,209,0.9816,182,0.0198,27656,0.6628,valid,0.0166,27670
GRID-00111,80.235736,21.868688,0.6589,255,0.9842,40,0.0173,27670,0.6637,valid,0.0147,27682
GRID-00112,80.236026,21.86869,0.6766,206,0.9874,7,0.0145,27685,0.6646,valid,0.0122,27696
GRID-00113,80.236317,21.868691,0.6882,188,0.9915,5,0.0127,27696,0.6647,valid,0.0106,27698
GRID-00114,80.236607,21.868693,0.6675,236,0.9966,3,0.0114,27699,0.6641,valid,0.0096,27701
GRID-00115,80.236897,21.868694,0.6649,242,1.0,1,0.0099,27700,0.664,valid,0.0082,27707
GRID-00116,80.237188,21.868695,0.6655,240,0.9994,2,0.0093,27702,0.664,valid,0.0077,27710
GRID-00117,80.237478,21.868697,0.6838,198,0.9943,4,0.0115,27698,0.6645,valid,0.0095,27702
GRID-00118,80.237768,21.868698,0.671,224,0.9896,6,0.0149,27683,0.6644,valid,0.0124,27695
GRID-00119,80.238059,21.868699,0.6579,256,0.9862,8,0.0176,27668,0.6641,valid,0.0147,27681
GRID-00120,80.238349,21.868701,0.7516,103,0.984,52,0.0184,27666,0.6655,valid,0.0144,27684
GRID-00121,80.238639,21.868702,0.7382,113,0.9821,165,0.0208,27647,0.6642,valid,0.0164,27672
GRID-00122,80.23893,21.868703,0.7025,160,0.9795,201,0.0246,27623,0.6635,valid,0.0202,27644
GRID-00123,80.23922,21.868705,0.6898,182,0.9781,210,0.0264,27608,0.6633,valid,0.0215,27636
GRID-00124,80.23951,21.868706,0.6613,249,0.9765,214,0.0281,27585,0.6627,valid,0.0233,27617
GRID-00125,80.239801,21.868707,0.6412,293,0.9755,216,0.0302,27563,0.6625,valid,0.0252,27588
GRID-00126,80.240091,21.868709,0.6876,189,0.9748,218,0.0324,27539,0.664,valid,0.0262,27573
GRID-00127,80.240381,21.86871,0.6709,225,0.9748,219,0.033,27530,0.6636,valid,0.0272,27553
GRID-00128,80.240672,21.868711,0.6331,317,0.9745,220,0.0333,27525,0.6626,valid,0.028,27537
GRID-00129,80.240962,21.868713,0.6346,313,0.974,224,0.0345,27503,0.6628,valid,0.0285,27523
GRID-00130,80.241252,21.868714,0.5896,480,0.9738,226,0.0346,27500,0.6608,valid,0.0298,27491
GRID-00131,80.241543,21.868715,0.6396,297,0.9738,227,0.038,27437,0.6638,valid,0.0316,27456
GRID-00132,80.241833,21.868717,0.641,294,0.9743,222,0.0382,27434,0.6639,valid,0.0311,27462
GRID-00133,80.242124,21.868718,0.6089,394,0.9739,225,0.0377,27443,0.6626,valid,0.0318,27451
GRID-00134,80.242414,21.868719,0.5981,439,0.9736,229,0.0363,27462,0.6618,valid,0.0308,27468
GRID-00135,80.242704,21.868721,0.582,511,0.9743,221,0.0362,27466,0.6609,valid,0.0309,27467
GRID-00136,80.242995,21.868722,0.5634,598,0.9754,217,0.0362,27464,0.66,valid,0.031,27464
GRID-00137,80.243285,21.868723,0.5742,552,0.9766,212,0.0361,27470,0.6605,valid,0.0311,27461
GRID-00138,80.243575,21.868725,0.5505,657,0.9778,211,0.0373,27448,0.6595,valid,0.0317,27453
GRID-00139,80.243866,21.868726,0.5868,492,0.9785,209,0.0388,27428,0.6618,valid,0.032,27448
GRID-00140,80.244156,21.868727,0.5743,551,0.979,206,0.0375,27446,0.6609,valid,0.0317,27452
GRID-00141,80.244446,21.868729,0.5677,570,0.9791,205,0.0357,27482,0.6602,valid,0.0303,27479
GRID-00142,80.244737,21.86873,0.668,234,0.9788,208,0.027,27598,0.6628,valid,0.0239,27607
GRID-00143,80.245027,21.868731,0.6198,359,0.9791,204,0.031,27555,0.6619,valid,0.0267,27567
GRID-00144,80.245317,21.868733,0.6416,292,0.9796,200,0.0321,27543,0.6629,valid,0.0275,27547
GRID-00145,80.245608,21.868734,0.6208,353,0.9795,202,0.0291,27573,0.6618,valid,0.0253,27583
GRID-00146,80.245898,21.868735,0.6055,410,0.9801,198,0.0281,27584,0.661,valid,0.0248,27593
GRID-00147,80.246188,21.868737,0.6357,308,0.9806,194,0.0276,27591,0.6622,valid,0.0243,27601
GRID-00148,80.246479,21.868738,0.6526,266,0.9808,192,0.0326,27536,0.6634,valid,0.0279,27538
GRID-00149,80.246769,21.868739,0.6068,404,0.9805,195,0.0283,27583,0.6611,valid,0.0249,27592
GRID-00150,80.247059,21.868741,0.5941,463,0.9804,196,0.0269,27604,0.6602,valid,0.0236,27609
GRID-00151,80.24735,21.868742,0.6511,269,0.9802,197,0.0284,27582,0.6627,valid,0.0244,27599
GRID-00152,80.24764,21.868743,0.6333,316,0.9808,193,0.0328,27535,0.6628,valid,0.0276,27545
GRID-00153,80.24793,21.868745,0.6003,424,0.9809,191,0.0296,27567,0.6611,valid,0.0254,27582
GRID-00154,80.248221,21.868746,0.5899,478,0.9823,157,0.036,27472,0.662,valid,0.0302,27485
GRID-00155,80.248511,21.868747,0.6169,366,0.9827,133,0.0387,27429,0.6642,valid,0.0308,27469
GRID-00156,80.248801,21.868749,0.6657,238,0.9811,189,0.0207,27649,0.6624,valid,0.0188,27657
GRID-00157,80.249092,21.86875,0.7086,155,0.9812,188,0.0185,27665,0.6632,valid,0.017,27666
GRID-00158,80.249382,21.868751,0.6259,339,0.9825,140,0.0305,27558,0.6629,valid,0.0268,27565
GRID-00159,80.249673,21.868753,0.598,441,0.9838,69,0.036,27476,0.6635,valid,0.0285,27522
GRID-00160,80.249963,21.868754,0.6382,300,0.984,56,0.0362,27467,0.6655,valid,0.0297,27494
GRID-00161,80.250253,21.868755,0.7416,111,0.9833,94,0.0325,27537,0.6664,valid,0.0259,27575
GRID-00162,80.250544,21.868757,0.6424,290,0.9818,175,0.0301,27565,0.663,valid,0.0259,27576
GRID-00163,80.250834,21.868758,0.5867,494,0.9821,167,0.0269,27601,0.6602,valid,0.0235,27613
GRID-00164,80.251124,21.868759,0.698,171,0.9828,123,0.0354,27487,0.666,valid,0.027,27559
GRID-00165,80.251415,21.86876,0.6201,357,0.9828,127,0.0246,27624,0.662,valid,0.0219,27635
GRID-00166,80.251705,21.868762,0.6051,412,0.9825,139,0.0345,27504,0.6627,valid,0.0283,27525
GRID-00167,80.251995,21.868763,0.6013,421,0.9796,199,0.0253,27619,0.6604,valid,0.0222,27630
GRID-00168,80.252286,21.868764,0.1304,14559,0.0119,8895,0.4611,21652,0.4576,partial,0.475,22533
GRID-00169,80.203799,21.868266,0.217,7434,0.0124,8571,0.5184,19193,0.5768,partial,0.4817,22286
GRID-00170,80.20409,21.868268,0.5115,865,0.7314,247,0.1973,26835,0.664,valid,0.1728,27066
GRID-00171,80.20438,21.868269,0.1772,9842,0.0099,11204,0.5367,18199,0.5281,valid,0.5148,20751
GRID-00172,80.20467,21.86827,0.1341,14066,0.0085,13719,0.5285,18661,0.4415,valid,0.5452,19037
GRID-00173,80.204961,21.868272,0.3409,3058,0.0202,5582,0.2881,25824,0.5856,valid,0.3337,25743
GRID-00174,80.205251,21.868273,0.3209,3584,0.0163,6533,0.2622,26144,0.564,valid,0.3068,26072
GRID-00175,80.205541,21.868275,0.1359,13829,0.0108,9966,0.4777,21015,0.4612,valid,0.4887,21987
GRID-00176,80.205832,21.868276,0.1081,17955,0.0079,15363,0.5152,19348,0.3667,valid,0.5228,20333
GRID-00177,80.206122,21.868277,0.2705,5180,0.0144,7347,0.4258,22903,0.574,valid,0.4493,23424
GRID-00178,80.206413,21.868279,0.2546,5771,0.0131,8080,0.4703,21302,0.5773,valid,0.4891,21974
GRID-00179,80.206703,21.86828,0.2316,6775,0.0124,8513,0.433,22651,0.5438,valid,0.4612,23043
GRID-00180,80.206993,21.868282,0.0982,19661,0.0072,17282,0.4875,20616,0.3079,valid,0.528,20047
GRID-00181,80.207284,21.868283,0.0887,21303,0.0077,15676,0.5087,19646,0.3191,valid,0.5332,19745
GRID-00182,80.207574,21.868284,0.1619,11043,0.0092,12255,0.3979,23735,0.4344,valid,0.4367,23801
GRID-00183,80.207864,21.868286,0.1241,15423,0.01,10989,0.4817,20849,0.4317,valid,0.495,21711
GRID-00184,80.208155,21.868287,0.1302,14611,0.0138,7680,0.43,22750,0.4584,valid,0.46,23083
GRID-00185,80.208445,21.868289,0.0992,19501,0.0118,9038,0.4376,22497,0.3863,valid,0.4718,22651
GRID-00186,80.208735,21.86829,0.1084,17894,0.0099,11055,0.4546,21889,0.3887,valid,0.4882,22006
GRID-00187,80.209026,21.868291,0.0828,22384,0.0089,12861,0.4626,21598,0.3165,valid,0.4961,21668
GRID-00188,80.209316,21.868293,0.0809,22682,0.0074,16643,0.4514,22016,0.2624,valid,0.4851,22132
GRID-00189,80.209606,21.868294,0.0911,20910,0.005,23811,0.4226,23007,0.1856,valid,0.4598,23091
GRID-00190,80.209897,21.868296,0.0895,21185,0.0061,20597,0.4036,23561,0.2143,valid,0.4423,23653
GRID-00191,80.210187,21.868297,0.1297,14680,0.0069,17982,0.4612,21649,0.3469,valid,0.5017,21400
GRID-00192,80.210477,21.868298,0.1217,15756,0.0066,18973,0.4801,20918,0.3309,valid,0.5166,20657
GRID-00193,80.210768,21.8683,0.0826,22416,0.007,17786,0.448,22147,0.2503,valid,0.4852,22125
GRID-00194,80.211058,21.868301,0.0982,19665,0.0076,16009,0.501,20009,0.3304,valid,0.5373,19525
GRID-00195,80.211348,21.868303,0.132,14350,0.0077,15742,0.4223,23014,0.3614,valid,0.4671,22845
GRID-00196,80.211639,21.868304,0.0858,21852,0.0071,17574,0.5079,19680,0.2893,valid,0.5418,19271
GRID-00197,80.211929,21.868305,0.1007,19244,0.0056,22149,0.4969,20184,0.2595,valid,0.5311,19887
GRID-00198,80.212219,21.868307,0.0696,24425,0.0056,22251,0.5583,17022,0.234,valid,0.589,15847
GRID-00199,80.21251,21.868308,0.0737,23832,0.0059,21119,0.5421,17932,0.2438,valid,0.56,18059
GRID-00200,80.2128,21.86831,0.5645,593,0.0346,3904,0.1909,26868,0.6229,valid,0.2189,26794
GRID-00201,80.21309,21.868311,0.6132,379,0.043,3488,0.1008,27268,0.6256,valid,0.1188,27264
GRID-00202,80.213381,21.868312,0.1882,9111,0.012,8862,0.5624,16803,0.5818,valid,0.6038,14641
GRID-00203,80.213671,21.868314,0.0254,27583,0.0053,23021,0.5205,19093,0.1619,valid,0.5457,19008
GRID-00204,80.213961,21.868315,0.0706,24282,0.0051,23568,0.5609,16881,0.2216,valid,0.607,14380
GRID-00205,80.214252,21.868316,0.0821,22481,0.0108,9922,0.5263,18769,0.3847,valid,0.5737,17078
GRID-00206,80.214542,21.868318,0.1211,15851,0.0093,12054,0.4488,22119,0.3985,valid,0.4815,22290
GRID-00207,80.214832,21.868319,0.0636,25188,0.0071,17430,0.4824,20826,0.2371,valid,0.5154,20717
GRID-00208,80.215123,21.868321,0.0391,27165,0.0051,23656,0.5192,19162,0.1585,valid,0.5595,18094
GRID-00209,80.215413,21.868322,0.0296,27497,0.0059,21223,0.558,17040,0.2092,valid,0.597,15195
GRID-00210,80.215704,21.868323,0.0753,23607,0.0111,9649,0.4985,20109,0.3583,valid,0.5441,19119
GRID-00211,80.215994,21.868325,0.138,13540,0.0306,4199,0.485,20722,0.5375,valid,0.5315,19855
GRID-00212,80.216284,21.868326,0.3002,4195,0.0294,4312,0.3031,25616,0.5897,valid,0.3492,25536
GRID-00213,80.216575,21.868327,0.1237,15482,0.0158,6749,0.6349,11689,0.5921,valid,0.6388,11605
GRID-00214,80.216865,21.868329,0.1582,11374,0.0106,10169,0.4306,22726,0.4677,valid,0.4791,22385
GRID-00215,80.217155,21.86833,0.2457,6168,0.0106,10143,0.3575,24717,0.5067,valid,0.3992,24693
GRID-00216,80.217446,21.868332,0.2093,7825,0.0098,11369,0.3379,25099,0.4674,valid,0.3796,25059
GRID-00217,80.217736,21.868333,0.0564,25974,0.0078,15435,0.487,20646,0.2538,valid,0.5119,20890
GRID-00218,80.218026,21.868334,0.0979,19728,0.0069,18055,0.4407,22412,0.2762,valid,0.4798,22362
GRID-00219,80.218317,21.868336,0.0452,26867,0.0075,16411,0.5125,19470,0.2455,valid,0.543,19196
GRID-00220,80.218607,21.868337,0.0616,25450,0.0083,14318,0.5064,19750,0.2843,valid,0.5323,19792
GRID-00221,80.218897,21.868339,0.0844,22104,0.0087,13376,0.5222,19016,0.3447,valid,0.5388,19433
GRID-00222,80.219188,21.86834,0.0986,19580,0.006,20926,0.4851,20720,0.2638,valid,0.5058,21198
GRID-00223,80.219478,21.868341,0.1272,15012,0.0068,18390,0.4343,22608,0.3265,valid,0.4558,23227
GRID-00224,80.219768,21.868343,0.0653,24964,0.0061,20576,0.4624,21602,0.1926,valid,0.4855,22114
GRID-00225,80.220059,21.868344,0.158,11392,0.0095,11747,0.4568,21812,0.4595,valid,0.4683,22798
GRID-00226,80.220349,21.868345,0.1046,18573,0.0073,16964,0.4847,20736,0.3233,valid,0.5059,21194
GRID-00227,80.220639,21.868347,0.1258,15208,0.0083,14185,0.5138,19423,0.413,valid,0.5272,20089
GRID-00228,80.22093,21.868348,0.0312,27468,0.0042,25584,0.5625,16797,0.1601,valid,0.5848,16176
GRID-00229,80.22122,21.86835,0.0494,26597,0.0061,20581,0.6444,10878,0.3019,valid,0.6597,9804
GRID-00230,80.22151,21.868351,0.0509,26471,0.0063,19944,0.6905,7390,0.353,valid,0.7154,5534
GRID-00231,80.221801,21.868352,0.0511,26447,0.0041,25935,0.5835,15489,0.1839,valid,0.6364,11812
GRID-00232,80.222091,21.868354,0.0962,20015,0.0054,22741,0.4883,20580,0.2384,valid,0.5483,18835
GRID-00233,80.222381,21.868355,0.1563,11544,0.0077,15749,0.4599,21695,0.4109,valid,0.5248,20243
GRID-00234,80.222672,21.868356,0.0685,24562,0.0046,24822,0.4771,21042,0.1531,valid,0.5224,20358
GRID-00235,80.222962,21.868358,0.086,21816,0.0059,21393,0.4586,21736,0.219,valid,0.4991,21512
GRID-00236,80.223252,21.868359,0.0667,24795,0.0075,16304,0.4938,20342,0.2612,valid,0.5334,19734
GRID-00237,80.223543,21.86836,0.0438,26932,0.008,14980,0.5173,19241,0.2646,valid,0.5439,19135
GRID-00238,80.223833,21.868362,0.0571,25910,0.0064,19602,0.6441,10901,0.3216,valid,0.6773,8361
GRID-00239,80.224124,21.868363,0.1475,12446,0.008,14912,0.4672,21428,0.4134,valid,0.5097,20986
GRID-00240,80.224414,21.868365,0.1136,17041,0.0077,15704,0.4774,21028,0.3534,valid,0.5176,20603
GRID-00241,80.224704,21.868366,0.0758,23535,0.008,14940,0.5016,19979,0.2971,valid,0.5422,19246
GRID-00242,80.224995,21.868367,0.1647,10803,0.0085,13821,0.4116,23355,0.4231,valid,0.4582,23142
GRID-00243,80.225285,21.868369,0.188,9119,0.0118,8997,0.4308,22721,0.509,valid,0.4715,22670
GRID-00244,80.225575,21.86837,0.076,23520,0.0114,9348,0.6297,12096,0.4593,valid,0.664,9445
GRID-00245,80.225866,21.868371,0.1567,11512,0.0137,7719,0.6619,9525,0.6542,valid,0.6667,9223
GRID-00246,80.226156,21.868373,0.0976,19781,0.0121,8744,0.5324,18430,0.4354,valid,0.5692,17406
GRID-00247,80.226446,21.868374,0.1409,13222,0.0145,7303,0.6184,12990,0.597,valid,0.6346,11968
GRID-00248,80.226737,21.868375,0.1557,11611,0.0177,6149,0.6336,11785,0.6447,valid,0.6384,11648
