cell_id,longitude,latitude,anomaly_score,anomaly_rank,robust_distance_score,robust_distance_rank,positive_anchor_similarity,positive_anchor_rank,exploration_priority_score,feature_quality,config_b_sensitivity_similarity,config_b_sensitivity_rank
GRID-17282,80.246043,21.841091,0.2262,6983,0.0102,10691,0.3517,24826,0.489,valid,0.3876,24930
GRID-17283,80.246333,21.841093,0.2038,8147,0.0112,9547,0.4054,23518,0.5044,valid,0.44,23720
GRID-17284,80.246624,21.841094,0.1646,10811,0.0094,12020,0.3784,24238,0.434,valid,0.4129,24388
GRID-17285,80.246914,21.841095,0.1183,16323,0.0076,16081,0.4191,23120,0.3323,valid,0.4592,23111
GRID-17286,80.247204,21.841097,0.0648,25040,0.0059,21261,0.4783,20982,0.1909,valid,0.519,20543
GRID-17287,80.247495,21.841098,0.047,26763,0.0038,26335,0.5211,19069,0.1322,valid,0.5663,17623
GRID-17288,80.247785,21.841099,0.0526,26306,0.0052,23341,0.5287,18650,0.1787,valid,0.5685,17454
GRID-17289,80.248075,21.841101,0.1565,11532,0.0076,16028,0.4362,22550,0.3974,valid,0.4827,22232
GRID-17290,80.248365,21.841102,0.0805,22759,0.007,17882,0.6352,11660,0.3711,valid,0.6602,9755
GRID-17291,80.248656,21.841103,0.0917,20782,0.0054,22913,0.5709,16273,0.2789,valid,0.601,14874
GRID-17292,80.248946,21.841105,0.1074,18075,0.0065,19455,0.5087,19645,0.3125,valid,0.5434,19163
GRID-17293,80.249236,21.841106,0.1488,12331,0.0077,15705,0.3932,23878,0.3757,valid,0.4435,23614
GRID-17294,80.249527,21.841107,0.0593,25702,0.0054,22696,0.555,17198,0.2112,valid,0.5846,16198
GRID-17295,80.249817,21.841109,0.0496,26578,0.0039,26230,0.4745,21145,0.1107,valid,0.5191,20540
GRID-17296,80.250107,21.84111,0.0524,26330,0.0033,26903,0.5237,18912,0.1325,valid,0.5662,17630
GRID-17297,80.250397,21.841111,0.0524,26331,0.0022,27555,0.5996,14361,0.1793,valid,0.6206,13218
GRID-17298,80.250688,21.841113,0.0628,25295,0.0025,27467,0.6292,12141,0.2195,valid,0.6229,12996
GRID-17299,80.250978,21.841114,0.1292,14734,0.0067,18908,0.5179,19217,0.3644,valid,0.5379,19490
GRID-17300,80.251268,21.841115,0.4543,1302,0.0173,6268,0.1449,27102,0.5831,valid,0.1756,27057
GRID-17301,80.251559,21.841117,0.1214,15800,0.0103,10523,0.5679,16462,0.4855,valid,0.6026,14738
GRID-17302,80.251849,21.841118,0.0547,26134,0.0071,17654,0.486,20686,0.2247,valid,0.5236,20301
GRID-17303,80.252139,21.841119,0.6493,273,0.982,169,0.0203,27654,0.6622,valid,0.0186,27659
GRID-17304,80.25243,21.841121,0.4662,1197,0.0238,4966,0.1972,26836,0.6032,partial,0.2272,26745
GRID-17305,80.203953,21.840623,0.0482,26669,0.0011,27701,0.6161,13158,0.188,valid,0.6404,11464
GRID-17306,80.204243,21.840624,0.1158,16701,0.0056,22058,0.5686,16414,0.3366,valid,0.5391,19419
GRID-17307,80.204533,21.840625,0.1279,14915,0.0048,24333,0.6488,10525,0.4015,valid,0.6364,11821
GRID-17308,80.204823,21.840627,0.169,10461,0.0091,12559,0.5862,15281,0.5394,valid,0.6385,11644
GRID-17309,80.205114,21.840628,0.0712,24189,0.0044,25300,0.7246,5077,0.3439,valid,0.7336,4432
GRID-17310,80.205404,21.84063,0.1094,17722,0.0064,19669,0.5591,16983,0.3462,valid,0.5303,19937
GRID-17311,80.205694,21.840631,0.0925,20650,0.004,26068,0.6292,12146,0.2922,valid,0.6064,14436
GRID-17312,80.205985,21.840632,0.0764,23452,0.0045,25120,0.7197,5399,0.351,valid,0.7041,6342
GRID-17313,80.206275,21.840634,0.223,7125,0.0127,8323,0.6125,13431,0.6528,valid,0.6556,10179
GRID-17314,80.206565,21.840635,0.1681,10525,0.0073,17047,0.7299,4749,0.6114,valid,0.6906,7339
GRID-17315,80.206855,21.840637,0.1096,17697,0.0062,20396,0.7026,6551,0.4632,valid,0.6609,9695
GRID-17316,80.207146,21.840638,0.1346,14000,0.0048,24441,0.6964,6984,0.4538,valid,0.6624,9561
GRID-17317,80.207436,21.840639,0.1426,13022,0.0051,23525,0.7125,5873,0.4899,valid,0.6874,7575
GRID-17318,80.207726,21.840641,0.078,23191,0.0037,26482,0.7133,5818,0.3327,valid,0.6892,7441
GRID-17319,80.208017,21.840642,0.0771,23322,0.0051,23577,0.7608,3048,0.3994,valid,0.7393,4133
GRID-17320,80.208307,21.840644,0.1149,16839,0.0063,20039,0.6404,11223,0.4216,valid,0.6786,8255
GRID-17321,80.208597,21.840645,0.0985,19598,0.006,21005,0.6715,8813,0.4058,valid,0.7015,6539
GRID-17322,80.208887,21.840646,0.2226,7153,0.0112,9558,0.4869,20651,0.5507,valid,0.5379,19494
GRID-17323,80.209178,21.840648,0.0677,24668,0.0038,26402,0.6609,9602,0.2704,valid,0.6333,12071
GRID-17324,80.209468,21.840649,0.1172,16497,0.0036,26610,0.674,8623,0.378,valid,0.643,11239
GRID-17325,80.209758,21.840651,0.1195,16129,0.0036,26582,0.7052,6399,0.4095,valid,0.6716,8835
GRID-17326,80.210049,21.840652,0.1221,15700,0.0032,27029,0.6368,11527,0.3476,valid,0.6011,14864
GRID-17327,80.210339,21.840653,0.1451,12707,0.003,27138,0.6628,9448,0.4073,valid,0.6286,12487
GRID-17328,80.210629,21.840655,0.1583,11364,0.0041,25908,0.7191,5434,0.4865,valid,0.6833,7895
GRID-17329,80.210919,21.840656,0.1166,16583,0.0035,26753,0.7064,6320,0.4029,valid,0.6802,8124
GRID-17330,80.21121,21.840658,0.1131,17100,0.0041,25800,0.6828,7964,0.3884,valid,0.6542,10296
GRID-17331,80.2115,21.840659,0.1296,14683,0.007,17719,0.693,7212,0.5237,valid,0.668,9111
GRID-17332,80.21179,21.84066,0.1459,12614,0.0059,21355,0.6688,9008,0.4832,valid,0.6291,12439
GRID-17333,80.212081,21.840662,0.2215,7216,0.006,20934,0.656,9979,0.5415,valid,0.6145,13748
GRID-17334,80.212371,21.840663,0.195,8654,0.0057,21896,0.7481,3723,0.5879,valid,0.6982,6750
GRID-17335,80.212661,21.840664,0.1302,14594,0.0074,16546,0.8033,1517,0.6073,valid,0.7709,2588
GRID-17336,80.212952,21.840666,0.1288,14793,0.0055,22486,0.6823,8003,0.4555,valid,0.6463,10948
GRID-17337,80.213242,21.840667,0.1674,10592,0.0072,17277,0.6893,7479,0.575,valid,0.6385,11640
GRID-17338,80.213532,21.840669,0.1875,9152,0.0059,21264,0.6939,7147,0.5483,valid,0.64,11505
